listing_id,future_calendar_days_observed_30d,future_available_days_30d,future_available_rate_30d,high_demand_proxy,room_type,property_type,accommodates,bedrooms,beds,bathrooms,listing_price,minimum_nights,maximum_nights,instant_bookable,is_superhost,neighbourhood_name,host_listing_count,available_days_last_90d,available_rate_last_90d,avg_minimum_nights_calendar_last_90d,avg_maximum_nights_calendar_last_90d,available_days_last_30d,available_rate_last_30d,avg_minimum_nights_calendar_last_30d,avg_maximum_nights_calendar_last_30d,total_reviews_before_cutoff,unique_reviewers_before_cutoff,avg_comment_len_before_cutoff,max_comment_len_before_cutoff,days_since_last_review,cutoff_date,dataset_version
892563847358651469,30,0,0.0,1,Entire home/apt,Entire loft,4,2.0,,1.0,,7,28,False,False,Watergraafsmeer,1,0,0.0,7.0,28.0,0,0.0,7.0,28.0,1.0,1.0,319.0,319.0,1142.0,2026-08-11,v1_student
4108615,30,4,0.13333333333333333,1,Entire home/apt,Entire rental unit,6,4.0,5.0,3.0,806.0,3,1125,False,False,De Pijp - Rivierenbuurt,1,32,0.3516483516483517,3.0,1125.0,0,0.0,3.0,1125.0,6.0,6.0,391.3333333333333,983.0,462.0,2026-08-11,v1_student
34362837,30,0,0.0,1,Entire home/apt,Entire rental unit,3,2.0,2.0,1.0,324.0,2,21,False,False,Bos en Lommer,1,0,0.0,2.0,1125.0,0,0.0,2.0,1125.0,7.0,7.0,348.7142857142857,933.0,372.0,2026-08-11,v1_student
26781206,30,0,0.0,1,Entire home/apt,Entire rental unit,2,1.0,,1.0,,3,7,False,False,De Baarsjes - Oud-West,1,0,0.0,3.0,1125.0,0,0.0,3.0,1125.0,8.0,8.0,290.625,1051.0,2201.0,2026-08-11,v1_student
1402363352010248080,30,30,1.0,0,Entire home/apt,Entire rental unit,2,1.0,1.0,1.5,186.0,4,30,False,False,Westerpark,1,32,0.3516483516483517,4.0,30.0,30,1.0,4.0,30.0,0.0,0.0,,,90.0,2026-08-11,v1_student
1400082468619894368,30,30,1.0,0,Entire home/apt,Entire rental unit,2,1.0,1.0,1.0,153.0,1,365,False,False,Osdorp,1,91,1.0,1.0,365.0,30,1.0,1.0,365.0,1.0,1.0,112.0,112.0,429.0,2026-08-11,v1_student
1304251226111083657,30,0,0.0,1,Entire home/apt,Entire rental unit,2,1.0,,1.0,,3,15,False,False,De Baarsjes - Oud-West,1,0,0.0,3.0,15.0,0,0.0,3.0,15.0,3.0,3.0,174.33333333333334,275.0,459.0,2026-08-11,v1_student
1022530994469461537,30,0,0.0,1,Entire home/apt,Entire rental unit,4,2.0,,1.5,,1,365,False,True,Watergraafsmeer,2,0,0.0,1.0,365.0,0,0.0,1.0,365.0,0.0,0.0,,,90.0,2026-08-11,v1_student
1051388861391509083,30,0,0.0,1,Entire home/apt,Entire rental unit,2,1.0,,1.0,,3,14,False,False,Oostelijk Havengebied - Indische Buurt,1,0,0.0,3.0,14.0,0,0.0,3.0,14.0,9.0,9.0,302.22222222222223,671.0,365.0,2026-08-11,v1_student
780674,30,0,0.0,1,Entire home/apt,Entire rental unit,2,1.0,,1.0,,2,15,False,False,Centrum-Oost,1,0,0.0,2.0,15.0,0,0.0,2.0,15.0,36.0,36.0,237.55555555555554,766.0,1057.0,2026-08-11,v1_student
